day,time,clearing price (CNY/MWh)
2023/7/1,0:15,391.7048135159178
2023/7/1,0:30,386.05623663754295
2023/7/1,0:45,379.0449641603127
2023/7/1,1:00,376.8804180741323
2023/7/1,1:15,382.4868488030486
2023/7/1,1:30,364.4274247249771
2023/7/1,1:45,369.17866267960505
2023/7/1,2:00,359.40932047471154
2023/7/1,2:15,358.4599130286999
2023/7/1,2:30,372.15356499956044
2023/7/1,2:45,373.1708073790247
2023/7/1,3:00,365.30977706151674
2023/7/1,3:15,366.5022942709497
2023/7/1,3:30,365.35328919658184
2023/7/1,3:45,364.91982430591406
2023/7/1,4:00,365.2910153320927
2023/7/1,4:15,354.5817736564651
2023/7/1,4:30,360.08172988732014
2023/7/1,4:45,357.3574299668244
2023/7/1,5:00,364.81226836953545
2023/7/1,5:15,373.8060798222871
2023/7/1,5:30,371.0480561328321
2023/7/1,5:45,370.8373974590821
2023/7/1,6:00,367.051585285481
2023/7/1,6:15,374.7471141827053
2023/7/1,6:30,373.20933647292503
2023/7/1,6:45,356.6161446480871
2023/7/1,7:00,316.75032668309694
2023/7/1,7:15,309.26686282167054
2023/7/1,7:30,312.5287424047087
2023/7/1,7:45,305.3759156949775
2023/7/1,8:00,277.28997490832467
2023/7/1,8:15,283.2284553203845
2023/7/1,8:30,280.71974392539806
2023/7/1,8:45,271.23331796967034
2023/7/1,9:00,257.06901401394
2023/7/1,9:15,253.2180871260922
2023/7/1,9:30,248.71080136946006
2023/7/1,9:45,247.27984830402602
2023/7/1,10:00,239.93166261242476
2023/7/1,10:15,242.91920241773855
2023/7/1,10:30,241.5172650245907
2023/7/1,10:45,253.00334772603537
2023/7/1,11:00,257.72249950843843
2023/7/1,11:15,259.0732136047046
2023/7/1,11:30,267.6226926367384
2023/7/1,11:45,265.6909475814038
2023/7/1,12:00,230.05503077730043
2023/7/1,12:15,218.47456207907828
2023/7/1,12:30,220.34996952823076
2023/7/1,12:45,223.60970498755935
2023/7/1,13:00,243.88645086662396
2023/7/1,13:15,250.17502697768933
2023/7/1,13:30,255.23123064930243
2023/7/1,13:45,258.7463839455167
2023/7/1,14:00,290.3531299153958
2023/7/1,14:15,288.2087355976224
2023/7/1,14:30,277.075688673641
2023/7/1,14:45,295.9880486633462
2023/7/1,15:00,282.0251918800615
2023/7/1,15:15,308.0457636101084
2023/7/1,15:30,359.1343906619216
2023/7/1,15:45,357.8703776928479
2023/7/1,16:00,415.71434391565487
2023/7/1,16:15,420.41180463131053
2023/7/1,16:30,431.1407596815391
2023/7/1,16:45,432.02881194931444
2023/7/1,17:00,460.438112140855
2023/7/1,17:15,460.98268945350367
2023/7/1,17:30,468.25131067090456
2023/7/1,17:45,473.86161128329786
2023/7/1,18:00,479.4979649493711
2023/7/1,18:15,481.4833352438648
2023/7/1,18:30,482.9305341547755
2023/7/1,18:45,483.00136099093123
2023/7/1,19:00,475.24286117773414
2023/7/1,19:15,471.7538329903446
2023/7/1,19:30,474.157183905686
2023/7/1,19:45,480.2710724119065
2023/7/1,20:00,467.41403962386875
2023/7/1,20:15,471.2671294963322
2023/7/1,20:30,467.89841371363565
2023/7/1,20:45,471.0714488675014
2023/7/1,21:00,472.8446462174434
2023/7/1,21:15,473.8969414239424
2023/7/1,21:30,458.74712665023725
2023/7/1,21:45,460.02687912695035
2023/7/1,22:00,447.11449150995213
2023/7/1,22:15,450.96201245951954
2023/7/1,22:30,454.29881056279885
2023/7/1,22:45,446.7928810292563
2023/7/1,23:00,435.78819323549203
2023/7/1,23:15,433.25340015638955
2023/7/1,23:30,423.06294488751735
2023/7/1,23:45,404.1946676955887
2023/7/1,24:00:00,401.6388000169935
2023/7/2,0:15,397.7239952994712
2023/7/2,0:30,397.86643784208627
2023/7/2,0:45,397.989465816441
2023/7/2,1:00,389.20724086598113
2023/7/2,1:15,380.1196630350672
2023/7/2,1:30,379.01379882444934
2023/7/2,1:45,383.7028771064348
